Which stage of life best describes you right now?,What is your age group?,How often do you feel unsure or confused while making everyday decisions?,What kind of decisions do you usually overthink the most?,"When you’re stuck on a decision, what do you usually do first?",How often do you feel overwhelmed by having too many choices?,How comfortable are you taking risks when making decisions?,What matters most to you when making important decisions?,What frustrates you most while making an important decision?,"If an AI could help you make decisions, what would you want it to do?","How important is it for AI suggestions to be ethical, unbiased, and responsible?",How would you prefer AI recommendations to be presented?,What would make you not trust an AI decision support tool?,"In one line, what does “making the right decision” mean to you?",FrustrationScore,RiskScore_raw,RiskScore,RiskCategory
Student / Exploring education and career options,18–21,4.0,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions, Health or lifestyle choices",Ask friends or family,4,4,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Too many options","Compare different options clearly, Personalize advice based on my situation",Extremely important,Short explanations with reasoning,I would not trust an AI decision support tool if it answers predefined answers and not those answers which are aligned to my personal experience and problem ,"Making the right decision means that I shoudl not regret later, and fullfill the need i was looking for at the start",2,3.6,81.35593220338984,High
Life transition / Re-evaluating goals,Above 30,3.0,Career or education choices,Delay the decision,2,2,Long-term outcomes,Too many options,Personalize advice based on my situation,Extremely important,Clear comparison of options,Conflicting answers on different times; incorrect advice for example in medical use cases,Right for my context and in my best interest,1,2.0,27.11864406779661,Low
Family & responsibility phase,Above 30,3.0,Personal or relationship decisions,Delay the decision,2,4,Opinions of others,Lack of confidence,Show risks and possible outcomes,Important,Simple step-by-step guidance,Decision may go wrong,First take decision then make it right,1,2.7,50.84745762711865,Moderate
Family & responsibility phase,Above 30,2.0,Financial or purchase decisions,Ask friends or family,2,3,Long-term outcomes,Too many options,Show risks and possible outcomes,Extremely important,Clear comparison of options,Rare usage of AI,Not thinking twice,1,2.15,32.20338983050847,Low
Family & responsibility phase,Above 30,2.0,Financial or purchase decisions,Ask friends or family,1,3,Long-term outcomes,Fear of making the wrong choice,Show risks and possible outcomes,Extremely important,Clear comparison of options,Predict similar answer for multiple questions ,Logical reasoning ,1,1.8999999999999997,23.728813559322024,Low
Student / Exploring education and career options,18–21,3.0,Personal or relationship decisions,Go with my gut feeling,2,3,Short-term convenience,Fear of making the wrong choice,Show risks and possible outcomes,Extremely important,Simple step-by-step guidance,Beacuse all the answer are sourced through intermet and internet cannot be trusted,Analysis ,1,2.35,38.983050847457626,Low
Student / Exploring education and career options,Below 18,3.0,Career or education choices,Go with my gut feeling,3,4,Short-term convenience,"Fear of making the wrong choice, Conflicting advice from others, Lack of confidence","Break the decision into simple steps, Show risks and possible outcomes",Extremely important,Short explanations with reasoning,It predicts similar opinions for different scenarios,For me making the right decision is the one after which I feel more confident,3,3.35,72.88135593220339,High
Early career / Building professional experience,Above 30,2.0,Career or education choices,Go with my gut feeling,1,4,Avoiding mistakes / minimizing risk,Not knowing possible outcomes,Personalize advice based on my situation,Extremely important,Clear comparison of options,It works on an algorithm written by human,Clear choice leading to expected outcome,1,2.25,35.59322033898305,Low
Student / Exploring education and career options,Below 18,3.0,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions",Ask friends or family,3,3,Long-term outcomes,Too many options,"Show risks and possible outcomes, Compare different options clearly",Extremely important,Simple step-by-step guidance,Biasness ,To be unbiased and responsible ,1,2.6,47.45762711864407,Moderate
Student / Exploring education and career options,18–21,3.0,Career or education choices,Search online (Google / social media),3,3,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Not knowing possible outcomes","Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation",Extremely important,Visual outcomes or scenarios,Unclear responses,Getting the desired outcome,2,2.8,54.23728813559321,Moderate
Student / Exploring education and career options,18–21,3.0,Career or education choices,Ask friends or family,1,5,Avoiding mistakes / minimizing risk,Not knowing possible outcomes,Personalize advice based on my situation,Extremely important,Short explanations with reasoning,If it's very ethical and bookish answer ,Long term and if possible no risk at all,1,2.8000000000000003,54.23728813559323,Moderate
Student / Exploring education and career options,18–21,3.0,"Career or education choices, Financial or purchase decisions, Health or lifestyle choices",Search online (Google / social media),3,3,Avoiding mistakes / minimizing risk,"Not knowing possible outcomes, Too many options",Show risks and possible outcomes,Extremely important,Visual outcomes or scenarios,Transparency and step by step information ,Usually believe in trusting the process ,2,2.8,54.23728813559321,Moderate
