Timestamp,Which stage of life best describes you right now?,  What is your age group?  ,How often do you feel unsure or confused while making everyday decisions?  ,What kind of decisions do you usually overthink the most?  ,"When you’re stuck on a decision, what do you usually do first?  ",How often do you feel overwhelmed by having too many choices?  ,How comfortable are you taking risks when making decisions?  ,What matters most to you when making important decisions?  ,What frustrates you most while making an important decision?  ,"If an AI could help you make decisions, what would you want it to do?  ",Would you trust an AI system that explains its reasoning instead of just giving answers?  ,"How important is it for AI suggestions to be ethical, unbiased, and responsible?", How would you prefer AI recommendations to be presented?  ,What would make you not trust an AI decision support tool?  ,"In one line, what does “making the right decision” mean to you?  "
2/10/2026 21:03:35,Student / Exploring education and career options,18–21,Very often,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions, Health or lifestyle choices",Ask friends or family,Almost always,I prefer to play it safe,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Too many options","Compare different options clearly, Personalize advice based on my situation","Yes, definitely",Extremely important,Short explanations with reasoning,I would not trust an AI decision support tool if it answers predefined answers and not those answers which are aligned to my personal experience and problem ,"Making the right decision means that I shoudl not regret later, and fullfill the need i was looking for at the start"
2/10/2026 22:26:19,Life transition / Re-evaluating goals,Above 30,Sometimes,Career or education choices,Delay the decision,Sometimes,I’m okay with moderate risks,Long-term outcomes,Too many options,Personalize advice based on my situation,"Yes, definitely",Extremely important,Clear comparison of options,Conflicting answers on different times; incorrect advice for example in medical use cases,Right for my context and in my best interest
2/10/2026 22:27:21,Family & responsibility phase,Above 30,Sometimes,Personal or relationship decisions,Delay the decision,Sometimes,I prefer to play it safe,Opinions of others,Lack of confidence,Show risks and possible outcomes,"Maybe, if it’s transparent",Important,Simple step-by-step guidance,Decision may go wrong,First take decision then make it right
2/10/2026 22:28:31,Family & responsibility phase,Above 30,Rarely,Financial or purchase decisions,Ask friends or family,Sometimes,It depends on the situation,Long-term outcomes,Too many options,Show risks and possible outcomes,Not sure,Extremely important,Clear comparison of options,Rare usage of AI,Not thinking twice
2/10/2026 22:34:08,Family & responsibility phase,Above 30,Rarely,Financial or purchase decisions,Ask friends or family,Rarely,It depends on the situation,Long-term outcomes,Fear of making the wrong choice,Show risks and possible outcomes,"Yes, definitely",Extremely important,Clear comparison of options,Predict similar answer for multiple questions ,Logical reasoning 
2/10/2026 22:36:33,Student / Exploring education and career options,18–21,Sometimes,Personal or relationship decisions,Go with my gut feeling,Sometimes,It depends on the situation,Short-term convenience,Fear of making the wrong choice,Show risks and possible outcomes,"Maybe, if it’s transparent",Extremely important,Simple step-by-step guidance,Beacuse all the answer are sourced through intermet and internet cannot be trusted,Analysis 
2/10/2026 22:41:38,Student / Exploring education and career options,Below 18,Sometimes,Career or education choices,Go with my gut feeling,Often,I prefer to play it safe,Short-term convenience,"Fear of making the wrong choice, Conflicting advice from others, Lack of confidence","Break the decision into simple steps, Show risks and possible outcomes","Maybe, if it’s transparent",Extremely important,Short explanations with reasoning,It predicts similar opinions for different scenarios,For me making the right decision is the one after which I feel more confident
2/10/2026 22:44:57,Early career / Building professional experience,Above 30,Rarely,Career or education choices,Go with my gut feeling,Rarely,I prefer to play it safe,Avoiding mistakes / minimizing risk,Not knowing possible outcomes,Personalize advice based on my situation,"Maybe, if it’s transparent",Extremely important,Clear comparison of options,It works on an algorithm written by human,Clear choice leading to expected outcome
2/10/2026 22:45:57,Student / Exploring education and career options,Below 18,Sometimes,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions",Ask friends or family,Often,It depends on the situation,Long-term outcomes,Too many options,"Show risks and possible outcomes, Compare different options clearly","Maybe, if it’s transparent",Extremely important,Simple step-by-step guidance,Biasness ,To be unbiased and responsible 
2/10/2026 22:50:25,Student / Exploring education and career options,18–21,Sometimes,Career or education choices,Search online (Google / social media),Often,It depends on the situation,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Not knowing possible outcomes","Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation","Maybe, if it’s transparent",Extremely important,Visual outcomes or scenarios,Unclear responses,Getting the desired outcome
2/10/2026 22:51:58,Student / Exploring education and career options,18–21,Sometimes,Career or education choices,Ask friends or family,Rarely,I avoid risks whenever possible,Avoiding mistakes / minimizing risk,Not knowing possible outcomes,Personalize advice based on my situation,"Maybe, if it’s transparent",Extremely important,Short explanations with reasoning,If it's very ethical and bookish answer ,Long term and if possible no risk at all
2/10/2026 22:52:26,Student / Exploring education and career options,18–21,Sometimes,"Career or education choices, Financial or purchase decisions, Health or lifestyle choices",Search online (Google / social media),Often,It depends on the situation,Avoiding mistakes / minimizing risk,"Not knowing possible outcomes, Too many options",Show risks and possible outcomes,"Maybe, if it’s transparent",Extremely important,Visual outcomes or scenarios,Transparency and step by step information ,Usually believe in trusting the process 
2/10/2026 22:52:57,Independent adult / Managing personal and financial decisions,18–21,Rarely,Financial or purchase decisions,Go with my gut feeling,Sometimes,It depends on the situation,Long-term outcomes,Conflicting advice from others,Show risks and possible outcomes,"No, I prefer human advice",Important,Simple step-by-step guidance,Because ai is not a human.,Feels good 
